Placa de Vídeo, Preço
"Placa de Vídeo RX 6600 CLD 8G ASRock AMD Radeon, 8GB, GDDR6 - 90-GA2RZZ-00UANF","R$ 1.399,99"
"Placa de Vídeo RTX 4060 VENTUS 2x Black OC MSI NVIDIA GeForce, 8GB GDDR6, DLSS, Ray Tracing","R$ 2.399,99"
"Placa de Vídeo RX 6750XT Gaming XFX Graphics Card AMD Radeon, 12GB GDDR6, Ray tracing, Fidelity FX - RX-675TMBAF9","R$ 2.349,99"
"Placa de Vídeo RX 6600 XFX Core Gaming Speedster SWFT 210 AMD Radeon Graphics Card, 8GB GDDR6, AMD RDNA 2 - RX-66XL8LFDQ","R$ 1.449,99"
"Placa de Vídeo RX 7600 GAMING OC 8G AMD Radeon Gigabyte, 8GB, GDDR6, 128bits, RGB - GV-R76GAMING OC-8GD","R$ 1.849,99"
"Placa de Vídeo RX 6650XT XFX Speedster SWFT210 AMD Radeon, 8GB GDDR6, HDMI 3xDP 2 FAN - RX-665X8DFDY","R$ 1.999,99"
"Placa de Vídeo RX 6600 8G-V3 Dual ASUS AMD Radeon, 8GB GDDR6 - 90YV0GP3-M0NA00","R$ 1.539,99"
"Placa de Vídeo RX 7600 XT XFX Speedster SWFT 210 AMD Radeon, 16GB GDDR6, Dual Fan, AMD Freesync","R$ 2.199,99"
"Placa de Vídeo RTX 4070 Super Gigabyte Windforce NVIDIA GeForce, 12GB, GDDR6X, DLSS, Ray Tracing - GV-N407SWF3OC-12GD","R$ 6.999,99"
"Placa de Vídeo MSI RTX 3050 Ventus 2X XS OC NVIDIA GeForce, 8GB GDDR6 - 912-V809-4266","R$ 1.449,99"
"Placa de Vídeo RTX 3060 Gainward NVIDIA GeForce, Ghost 190AU, 12GB, GDDR6, 192 Bits, Dual FAN - NE63060019K9","R$ 1.989,90"
"Placa de Video RTX 3060 Palit NVIDIA GeForce, 12GB GDDR6, RGB, DLSS, G-Sync, Ray Tracing - NE63060019K9-190AD","R$ 2.099,99"
"Placa De Vídeo Msi RTX 4060 Ventus 2x Oc Black, Nvidia GeForce, 8GB, GDDR6 - 912-V516-012","R$ 2.890,00"
"Placa de Vídeo RTX 3060 Ventus 2X MSI NVIDIA GeForce, 12GB GDDR6, DLSS, Ray Tracing - RTX 3060 Ventus 2X 12G OC","R$ 1.949,99"
"Placa de Vídeo RTX 3060 1-Click OC Galax NVIDIA GeForce, 12GB GDDR6, LHR, DLSS, Ray Tracing - 36NOL7MD1VOC","R$ 1.989,99"
"Placa De Vídeo RTX 4060 TI Ventus 2x Oc, MSI, Nvidia, 8GB RAM, GDDR6 - 912-V515-024","R$ 3.299,99"
"Placa de Vídeo GTX 1650, Galax NVIDIA GeForce, 4GB GDDR6, EX Plus, 1-Click OC, 128 Bits - 65SQL8DS93E1","R$ 919,00"
"Placa de Vídeo Galax NVIDIA GeForce GTX 1650 EX Plus (1-Click OC), 4GB, GDDR6 - 65SQL8DS93E1","R$ 899,00"
"Placa de Vídeo RTX 4060 Dual OC 8G White NVIDIA GeForce, 8GB, GDDR6, DLSS, Ray Tracing, G-Sync - 90YV0JC2-M0NA00","R$ 2.399,99"
"Placa de Vídeo RTX 4060 Gaming Verto OC Dual Fan PNY NVIDIA GeForce, 08GB GDDR6, DLSS 3, Ray Tracing - VCG40608DFXPB1-O","R$ 2.399,99"
